user_login,event_create,event_comment,event_assign_collaborator,event_setting_assignee,event_closed_issue
yiqun-wu,0,6,0,0,4
yongchao2,8,2,0,4,3
yoonlee666,1,2,2,1,1
youtianming,0,0,0,0,0
youui,0,2,1,0,0
yuan-zhongmi,0,0,0,0,0
yuchaojie,1,6,0,0,1
yulanjie2021,1,0,0,0,0
yuximiao,0,0,0,0,0
yuzhenhua666,0,14,7,0,0
yvlee,1,0,0,0,0
yx_miao,7,12,0,0,0
yypxpy,1,0,0,0,0
yyuse,0,0,1,0,0
yyxhgg,0,0,0,0,0
yzhouxdu,1,8,0,0,0
zabii,1,0,0,0,0
zeng-pengyuan,1,0,0,0,0
zengfy2020,1,2,0,1,1
zengzitao,0,2,0,0,0
zetongzhao,3,0,0,0,3
zeyangao,0,14,8,0,0
zh_qh,1,28,16,0,2
zhan-yang6,1,2,0,1,1
zhang_xue_tong,0,0,6,0,0
zhangbiao31,0,0,1,1,0
zhangbuxue,1,2,0,0,0
zhanggy9,1,0,0,0,0
zhanghaibo5,0,8,9,0,0
zhanghuiyao,0,22,11,1,0
zhanglei546,21,42,25,10,22
zhangpanting,0,0,0,0,0
zhangxiaoxiao16,0,20,11,0,0
zhangximing666,3,18,0,0,1
zhangyuqwer,0,0,0,0,0
zhangzhaoju,3,32,9,2,1
zhangzw12319,0,4,0,0,0
zhangzzp_zzp,0,0,0,0,0
zhanyuan1,1,2,2,0,1
zhao_ting_v,1,50,6,0,1
zhaochao27,1,0,0,0,0
zhaodezan,2,0,0,0,2
zhaojichen,1,2,2,0,0
zhaosida_hw,1,18,2,0,1
zheng_pengfei,0,0,0,0,0
zhengjun10,2,4,2,0,1
zhengyuanhua,0,0,1,0,0
zhi-qing-wei,0,0,0,0,0
zhidanliu,0,0,1,0,0
zhixinaa,0,0,0,0,0
zhongjicheng,21,42,3,21,15
zhou-yunfeier,0,88,0,0,0
zhou_lili,0,8,3,0,1
zhoufeng54,3,6,3,2,1
zhouneng2,0,10,3,0,0
zhouqian24,0,2,0,0,0
zhouqingtao2006,1,0,1,1,0
zhoushan33,0,4,2,0,0
zhouyaqiang0,0,2,1,0,2
zhubaiwan,2,0,0,0,0
zhuikefeng,0,4,0,0,0
zhunaipan,0,118,12,17,1
zhupuxu,0,0,0,0,0
zichun_ye,0,4,4,0,0
zikun97,2,0,0,0,0
ziruiwu,0,4,0,0,0
zjun3021,0,16,4,0,0
zlq2020,0,0,1,0,0
zomi_chan,0,0,0,0,0
zong-shuai,0,0,0,0,1
zou-appei,1,0,0,0,0
zou-tianyu,0,24,0,0,0
zpac,0,18,5,1,0
zsj_mind,0,2,0,0,2
zsk423200,1,0,0,0,0
zuochuanyong,0,6,1,0,0
zxyhku,2,4,0,0,0
zyhstack,0,4,1,0,0
zyli2020,0,10,2,0,0
